,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver,name,time_unit
0,2,2017,91.11,121,한국,청소년관람불가,액션,강윤성,0,0,0,0,0,1,0,범죄도시,2
1,4,2015,0.0,103,미국,15세이상관람가,액션,나딤 사우마,0,0,1,0,1,0,1,6 웨이 투 다이,1
2,5,2017,0.0,97,미국,15세이상관람가,없음,알렉스 스미스,0,1,1,0,1,0,0,로스트 인 마운틴,1
3,6,2017,0.0,84,미국,청소년관람불가,액션,하미드 토라브푸르,0,1,1,0,1,0,1,좀비 헌터,1
4,7,2016,60.0,90,독일,15세이상관람가,스릴러,마이클 로젤,0,1,1,0,1,0,1,돌로레스,1
5,8,2016,0.0,88,미국,15세이상관람가,공포(호러),자레드 콘,0,1,1,0,0,0,1,늑대소녀,1
6,13,2017,0.0,75,일본,청소년관람불가,스릴러,조조 히데오,0,1,1,0,1,0,0,시수옥:감금된 소녀들 파트1,1
7,14,2017,0.0,76,한국,청소년관람불가,스릴러,이상훈,0,1,0,0,0,0,0,토일렛,1
8,15,2015,0.0,85,영국,15세이상관람가,드라마,스테파니 조알랜드,0,1,1,0,0,0,1,외계 대 침공,1
9,18,2016,40.0,118,인도네시아,청소년관람불가,드라마,키모 스탐보엘,1,0,0,0,0,0,0,헤드샷,1
10,19,2015,0.0,110,캐나다,청소년관람불가,액션,앨런 웅거,1,0,0,0,0,0,0,다이하드 스왓,1
11,21,2017,93.27,95,영국,15세이상관람가,,도로타 코비엘라,0,0,1,0,0,0,0,러빙 빈센트,1
12,23,2017,58.73,114,일본,12세이상관람가,드라마,나루시마 이즈루,0,0,1,0,0,0,0,잠깐만 회사 좀 관두고 올게,1
13,24,2017,60.89,125,한국,15세이상관람가,드라마,정지우,0,0,1,0,0,1,0,침묵,2
14,25,2017,0.0,75,한국,12세이상관람가,드라마,장호준,0,1,0,0,0,0,0,그리다,1
15,27,2016,42.86,113,한국,15세이상관람가,드라마,손태겸,0,0,0,0,0,0,1,아기와 나,1
16,28,2016,0.0,67,한국,12세이상관람가,애니메이션,조종덕,0,0,0,0,1,0,0,우리집 멍멍이 진진과 아키다,1
17,29,2013,0.0,88,캐나다,청소년관람불가,코미디,K. 킹,0,1,1,0,0,0,1,좀비 vs 헌터,1
18,37,2017,88.89,100,한국,12세이상관람가,드라마,김대환,0,1,1,0,0,0,0,초행,1
19,38,2017,0.0,111,한국,12세이상관람가,드라마,진광교,0,0,1,0,0,0,1,내게 남은 사랑을,1
20,39,2016,100.0,133,한국,15세이상관람가,드라마,신연식,0,1,0,0,0,0,0,로마서 8:37,2
21,41,2017,43.9,82,한국,15세이상관람가,드라마,방은진,0,0,1,0,1,1,0,메소드,1
22,42,2015,0.0,84,미국,15세이상관람가,액션,크리스토퍼 레이,0,1,0,0,0,0,0,메가몬스터 샤크,1
